latitude,longitude,elevation_m,elevation_ft
44.744198311,-93.377005456,279.177,915.937
44.744198311,-93.376946877,279.165,915.897
44.744198311,-93.376888297,279.155,915.862
44.744198311,-93.376829718,279.149,915.843
44.744198311,-93.376771138,279.142,915.822
44.744198311,-93.376712559,279.136,915.800
44.744198311,-93.376653979,279.126,915.768
44.744198311,-93.376595400,279.119,915.744
44.744198311,-93.376536820,279.114,915.727
44.744198311,-93.376478240,279.104,915.697
44.744198311,-93.376419661,279.096,915.668
44.744239371,-93.378411365,279.772,917.886
44.744239371,-93.378352785,279.637,917.443
44.744239371,-93.378294206,279.492,916.967
44.744239371,-93.378235626,279.372,916.576
44.744239371,-93.378177047,279.259,916.204
44.744239371,-93.378118467,279.151,915.850
44.744239371,-93.378059888,279.037,915.475
44.744239371,-93.378001308,278.923,915.102
44.744239371,-93.377942728,278.829,914.794
44.744239371,-93.377884149,278.767,914.588
44.744239371,-93.377825569,278.729,914.464
44.744239371,-93.377766990,278.811,914.735
44.744239371,-93.377708410,278.891,914.996
44.744239371,-93.377649831,278.960,915.224
44.744239371,-93.377591251,279.021,915.423
44.744239371,-93.377532672,279.078,915.612
44.744239371,-93.377474092,279.132,915.788
44.744239371,-93.377415513,279.193,915.987
44.744239371,-93.377356933,279.252,916.180
44.744239371,-93.377298354,279.237,916.133
44.744239371,-93.377239774,279.222,916.084
44.744239371,-93.377181195,279.207,916.033
44.744239371,-93.377122615,279.192,915.984
44.744239371,-93.377064036,279.178,915.938
44.744239371,-93.377005456,279.166,915.899
44.744239371,-93.376946877,279.155,915.863
44.744239371,-93.376888297,279.145,915.831
44.744239371,-93.376829718,279.140,915.813
44.744239371,-93.376771138,279.134,915.794
44.744239371,-93.376712559,279.128,915.775
44.744239371,-93.376653979,279.120,915.747
44.744239371,-93.376595400,279.113,915.725
44.744239371,-93.376536820,279.108,915.709
44.744239371,-93.376478240,279.100,915.681
44.744239371,-93.376419661,279.092,915.655
44.744280431,-93.378411365,279.790,917.946
44.744280431,-93.378352785,279.655,917.504
44.744280431,-93.378294206,279.521,917.063
44.744280431,-93.378235626,279.400,916.666
44.744280431,-93.378177047,279.285,916.290
44.744280431,-93.378118467,279.180,915.946
44.744280431,-93.378059888,279.071,915.589
44.744280431,-93.378001308,278.964,915.236
44.744280431,-93.377942728,278.876,914.947
44.744280431,-93.377884149,278.814,914.744
